Resistance (ohms),(Resistance - Onset) / Onset (no units),Pk-Pk Amplitude Oscilloscope (V),Error (V),Pk-Pk Amp / 2 (V),Error (V)
105.4,0.000,0.344,0.004,0.172,0.002
106.2,0.008,0.640,0.004,0.320,0.002
107.2,0.017,0.872,0.008,0.436,0.004
107.6,0.021,0.952,0.002,0.476,0.001
108.2,0.027,1.060,0.020,0.530,0.010
109.0,0.034,1.240,0.020,0.620,0.010
110.0,0.044,1.400,0.000,0.700,0.000
111.0,0.053,1.520,0.020,0.760,0.010
112.0,0.063,1.660,0.000,0.830,0.000
113.0,0.072,1.780,0.020,0.890,0.010
114.0,0.082,1.880,0.040,0.940,0.020
115.0,0.091,1.980,0.000,0.990,0.000
116.0,0.101,2.080,0.020,1.040,0.010
117.0,0.110,2.180,0.000,1.090,0.000
118.0,0.120,2.260,0.010,1.130,0.005
119.0,0.129,2.340,0.020,1.170,0.010
120.0,0.139,2.440,0.020,1.220,0.010
