Energy [keV],A1,A2,A3,A4,A5,A6,A7,A8,A9,A11,A12,A13,A14,A15,A16,A17,A18
130.3,3.26E-02,8.93E+02,6.34E+00,5.48E-01,1.58E+01,4.24E-04,7.50E+02,3.40E-02,8.20E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+01,1.00E+01,0.00E+00,0.00E+00,0.00E+00
129.5,3.73E-02,8.92E+02,7.33E+00,2.49E-01,1.91E+01,3.63E-04,7.50E+02,3.79E-02,7.87E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
292.2,6.54E-03,1.05E+03,7.15E+00,3.70E-01,2.13E+01,2.38E-04,1.99E+04,7.01E-03,9.94E+00,1.90E-05,1.90E-05,1.90E-05,1.90E-05,1.90E-05,1.90E-05,1.90E-05,1.90E-05
291.3,6.02E-03,1.05E+03,5.44E+00,4.31E-01,1.49E+01,2.99E-04,9.00E+03,6.44E-03,1.04E+01,8.04E-06,8.04E-06,8.04E-06,8.04E-06,8.04E-06,8.04E-06,8.04E-06,8.04E-06
407.7,4.18E-03,1.17E+03,2.22E+00,1.51E+00,9.28E+00,5.02E-04,3.69E+02,5.23E-03,1.03E+01,6.53E-06,6.53E-06,6.53E-06,6.53E-06,6.53E-06,6.53E-06,6.53E-06,6.53E-06
406.7,4.87E-03,1.16E+03,5.72E+00,4.91E-01,1.46E+01,2.48E-04,9.00E+02,5.57E-03,1.04E+01,7.10E-06,7.10E-06,7.10E-06,7.10E-06,7.10E-06,7.10E-06,7.10E-06,7.10E-06
540.5,4.60E-03,1.31E+03,5.33E+00,1.23E+00,1.16E+01,2.59E-04,3.30E+02,5.02E-03,9.82E+00,1.92E-06,1.92E-06,1.92E-06,1.92E-06,1.92E-06,1.92E-06,1.92E-06,1.92E-06
539.4,5.32E-03,1.31E+03,4.41E+00,7.61E-01,1.00E+01,2.19E-04,3.70E+02,5.98E-03,1.08E+01,2.26E-06,2.26E-06,2.26E-06,2.26E-06,2.26E-06,2.26E-06,2.26E-06,2.26E-06
680.5,4.70E-03,1.44E+03,5.69E+00,8.58E-01,1.93E+01,1.98E-04,7.07E+02,5.33E-03,9.48E+00,7.24E-07,7.24E-07,7.24E-07,7.24E-07,7.24E-07,7.24E-07,7.24E-07,7.24E-07
679.3,5.30E-03,1.44E+03,6.03E+00,3.12E-01,1.91E+01,1.80E-04,6.19E+02,6.02E-03,1.04E+01,1.12E-06,1.12E-06,1.12E-06,1.12E-06,1.12E-06,1.12E-06,1.12E-06,1.12E-06
891.6,2.85E-03,1.66E+03,4.09E+00,1.05E+00,2.18E+01,1.33E-04,1.47E+03,3.48E-03,1.13E+01,6.83E-07,6.83E-07,6.83E-07,6.83E-07,6.83E-07,6.83E-07,6.83E-07,6.83E-07
890.1,4.27E-03,1.65E+03,7.17E+00,1.80E-01,2.63E+01,9.40E-05,1.09E+04,4.75E-03,9.44E+00,7.22E-07,7.22E-07,7.22E-07,7.22E-07,7.22E-07,7.22E-07,7.22E-07,7.22E-07
